AGE_GROUP,GENDER,REGION,YEAR,TOTAL_STUDENTS,TOTAL_POPULATION,PROP_STUDENTS_100K
35-39 ans,m,drom,2025,2,61074.00,3.300000
45-49 ans,f,bretagne,2025,3,103458.00,2.900000
30-34 ans,m,occitanie,2024,11,171358.00,6.400000
50-54 ans,f,pays de la loire,2023,1,127864.00,0.800000
20-24 ans,f,normandie,2023,1,88625.00,1.100000
25-29 ans,m,bretagne,2024,3,90514.00,3.300000
35-39 ans,f,centre-val de loire,2023,1,77237.00,1.300000
35-39 ans,f,bourgogne-franche-comté,2025,2,82135.00,2.400000
20-24 ans,f,nouvelle-aquitaine,2024,2,152482.00,1.300000
30-34 ans,m,bourgogne-franche-comté,2023,2,76551.00,2.600000
40-44 ans,f,drom,2023,1,73154.00,1.400000
45-49 ans,m,occitanie,2022,3,185979.00,1.600000
45-49 ans,m,bretagne,2022,4,110035.00,3.600000
40-44 ans,f,provence-alpes-côte d'azur,2025,5,170132.00,2.900000
40-44 ans,m,provence-alpes-côte d'azur,2023,2,157357.00,1.300000
25-29 ans,f,bretagne,2024,2,85760.00,2.300000
40-44 ans,m,provence-alpes-côte d'azur,2022,6,154003.00,3.900000
20-24 ans,f,hauts-de-france,2025,1,178917.00,0.600000
30-34 ans,f,île-de-france,2023,52,463512.00,11.200000
50-54 ans,m,provence-alpes-côte d'azur,2025,3,168725.00,1.800000
45-49 ans,m,normandie,2022,1,101654.00,1.000000
35-39 ans,m,pays de la loire,2024,1,118093.00,0.800000
40-44 ans,f,pays de la loire,2023,1,125426.00,0.800000
55-59 ans,m,bourgogne-franche-comté,2025,1,93964.00,1.100000
60 ans ou plus,m,provence-alpes-côte d'azur,2023,1,702358.00,0.100000
20-24 ans,f,auvergne-rhône-alpes,2024,1,227777.00,0.400000
40-44 ans,m,occitanie,2023,4,185658.00,2.200000
50-54 ans,f,île-de-france,2023,4,407995.00,1.000000
45-49 ans,f,centre-val de loire,2025,2,76338.00,2.600000
30-34 ans,f,île-de-france,2024,30,458940.00,6.500000
35-39 ans,m,bretagne,2022,3,98865.00,3.000000
55-59 ans,m,centre-val de loire,2023,1,84616.00,1.200000
25-29 ans,f,occitanie,2025,6,164429.00,3.600000
30-34 ans,m,provence-alpes-côte d'azur,2024,9,144322.00,6.200000
30-34 ans,f,centre-val de loire,2023,2,72358.00,2.800000
25-29 ans,m,auvergne-rhône-alpes,2022,8,229782.00,3.500000
30-34 ans,f,hauts-de-france,2023,5,181905.00,2.700000
40-44 ans,m,normandie,2022,3,98210.00,3.100000
35-39 ans,f,auvergne-rhône-alpes,2025,4,269063.00,1.500000
50-54 ans,f,provence-alpes-côte d'azur,2022,1,177411.00,0.600000
55-59 ans,f,nouvelle-aquitaine,2022,1,213254.00,0.500000
30-34 ans,m,normandie,2022,6,93536.00,6.400000
50-54 ans,f,provence-alpes-côte d'azur,2025,2,177098.00,1.100000
30-34 ans,m,normandie,2023,2,93288.00,2.100000
45-49 ans,m,occitanie,2024,2,180778.00,1.100000
20-24 ans,m,île-de-france,2022,1,410020.00,0.200000
40-44 ans,f,bretagne,2025,1,108286.00,0.900000
45-49 ans,m,occitanie,2023,3,182725.00,1.600000
20-24 ans,m,bretagne,2025,3,98243.00,3.100000
35-39 ans,m,occitanie,2023,2,176005.00,1.100000
60 ans ou plus,m,île-de-france,2022,10,1142183.00,0.900000
35-39 ans,f,bretagne,2024,1,101890.00,1.000000
50-54 ans,f,provence-alpes-côte d'azur,2023,1,178199.00,0.600000
25-29 ans,m,grand est,2025,7,159386.00,4.400000
45-49 ans,m,bourgogne-franche-comté,2025,1,79998.00,1.300000
35-39 ans,m,hauts-de-france,2025,10,189573.00,5.300000
25-29 ans,m,hauts-de-france,2022,2,167168.00,1.200000
30-34 ans,f,grand est,2022,4,168006.00,2.400000
50-54 ans,m,pays de la loire,2022,2,125268.00,1.600000
50-54 ans,f,normandie,2025,2,110036.00,1.800000
30-34 ans,m,bretagne,2022,5,93119.00,5.400000
30-34 ans,f,provence-alpes-côte d'azur,2024,1,154226.00,0.600000
25-29 ans,m,bourgogne-franche-comté,2025,2,73977.00,2.700000
60 ans ou plus,m,auvergne-rhône-alpes,2023,1,984729.00,0.100000
40-44 ans,f,grand est,2025,1,178972.00,0.600000
40-44 ans,f,provence-alpes-côte d'azur,2023,2,167491.00,1.200000
55-59 ans,m,grand est,2024,1,185421.00,0.500000
50-54 ans,f,provence-alpes-côte d'azur,2024,1,178964.00,0.600000
45-49 ans,m,auvergne-rhône-alpes,2025,2,247776.00,0.800000
45-49 ans,m,grand est,2024,6,165888.00,3.600000
50-54 ans,m,auvergne-rhône-alpes,2024,2,274269.00,0.700000
25-29 ans,m,nouvelle-aquitaine,2023,10,151859.00,6.600000
35-39 ans,f,hauts-de-france,2025,1,194333.00,0.500000
45-49 ans,m,pays de la loire,2023,3,122987.00,2.400000
55-59 ans,f,provence-alpes-côte d'azur,2024,1,183709.00,0.500000
25-29 ans,f,centre-val de loire,2023,1,63395.00,1.600000
40-44 ans,f,nouvelle-aquitaine,2023,3,192647.00,1.600000
40-44 ans,f,île-de-france,2022,34,434771.00,7.800000
35-39 ans,f,auvergne-rhône-alpes,2022,6,265304.00,2.300000
35-39 ans,m,grand est,2022,10,170597.00,5.900000
25-29 ans,f,nouvelle-aquitaine,2022,1,150191.00,0.700000
35-39 ans,f,hauts-de-france,2024,2,195295.00,1.000000
45-49 ans,m,pays de la loire,2024,1,120326.00,0.800000
45-49 ans,f,drom,2025,1,71068.00,1.400000
25-29 ans,f,bourgogne-franche-comté,2025,1,69502.00,1.400000
20-24 ans,m,nouvelle-aquitaine,2025,6,165972.00,3.600000
30-34 ans,f,occitanie,2025,4,176586.00,2.300000
55-59 ans,m,île-de-france,2024,2,370599.00,0.500000
40-44 ans,f,occitanie,2022,5,190696.00,2.600000
35-39 ans,m,pays de la loire,2022,7,116874.00,6.000000
25-29 ans,f,hauts-de-france,2025,2,169973.00,1.200000
25-29 ans,m,hauts-de-france,2024,12,168697.00,7.100000
20-24 ans,m,auvergne-rhône-alpes,2024,7,240832.00,2.900000
50-54 ans,f,normandie,2023,1,110948.00,0.900000
55-59 ans,m,hauts-de-france,2023,1,187578.00,0.500000
35-39 ans,m,île-de-france,2023,46,420747.00,10.900000
25-29 ans,m,île-de-france,2022,41,415647.00,9.900000
35-39 ans,f,occitanie,2024,3,188213.00,1.600000
35-39 ans,f,bourgogne-franche-comté,2022,1,81864.00,1.200000
35-39 ans,f,centre-val de loire,2025,1,77882.00,1.300000
40-44 ans,m,grand est,2024,3,173673.00,1.700000
25-29 ans,m,occitanie,2024,7,165330.00,4.200000
25-29 ans,m,normandie,2025,2,89195.00,2.200000
55-59 ans,f,hauts-de-france,2025,2,189337.00,1.100000
35-39 ans,m,centre-val de loire,2024,6,74044.00,8.100000
50-54 ans,f,auvergne-rhône-alpes,2022,2,271085.00,0.700000
60 ans ou plus,m,auvergne-rhône-alpes,2022,2,963910.00,0.200000
35-39 ans,m,grand est,2025,10,171956.00,5.800000
40-44 ans,m,normandie,2024,2,100372.00,2.000000
35-39 ans,m,occitanie,2022,12,175287.00,6.800000
45-49 ans,m,centre-val de loire,2022,1,80214.00,1.200000
35-39 ans,m,drom,2023,1,59124.00,1.700000
20-24 ans,f,bretagne,2024,1,89615.00,1.100000
50-54 ans,f,pays de la loire,2024,1,129960.00,0.800000
55-59 ans,m,bourgogne-franche-comté,2023,2,94067.00,2.100000
55-59 ans,f,normandie,2025,1,111184.00,0.900000
50-54 ans,m,hauts-de-france,2024,3,196058.00,1.500000
35-39 ans,m,occitanie,2025,9,181181.00,5.000000
30-34 ans,m,auvergne-rhône-alpes,2025,16,249732.00,6.400000
40-44 ans,m,nouvelle-aquitaine,2022,7,182141.00,3.800000
30-34 ans,f,grand est,2025,4,162208.00,2.500000
40-44 ans,m,nouvelle-aquitaine,2024,3,186285.00,1.600000
30-34 ans,m,nouvelle-aquitaine,2023,9,165350.00,5.400000
45-49 ans,m,nouvelle-aquitaine,2024,2,182661.00,1.100000
50-54 ans,m,nouvelle-aquitaine,2024,5,207820.00,2.400000
25-29 ans,m,normandie,2024,2,88117.00,2.300000
35-39 ans,f,nouvelle-aquitaine,2022,3,180859.00,1.700000
30-34 ans,f,centre-val de loire,2025,3,69946.00,4.300000
30-34 ans,f,bourgogne-franche-comté,2022,1,76666.00,1.300000
20-24 ans,m,bourgogne-franche-comté,2025,4,77650.00,5.200000
30-34 ans,m,centre-val de loire,2025,2,68830.00,2.900000
35-39 ans,f,hauts-de-france,2022,12,194611.00,6.200000
25-29 ans,m,auvergne-rhône-alpes,2025,18,237141.00,7.600000
30-34 ans,f,centre-val de loire,2022,4,72900.00,5.500000
40-44 ans,m,auvergne-rhône-alpes,2025,11,262919.00,4.200000
55-59 ans,f,pays de la loire,2023,1,124182.00,0.800000
30-34 ans,f,bourgogne-franche-comté,2023,2,75867.00,2.600000
60 ans ou plus,m,hauts-de-france,2023,1,668303.00,0.100000
50-54 ans,m,hauts-de-france,2022,6,191932.00,3.100000
30-34 ans,f,hauts-de-france,2025,2,176061.00,1.100000
45-49 ans,m,île-de-france,2025,20,401303.00,5.000000
40-44 ans,m,île-de-france,2023,35,416626.00,8.400000
45-49 ans,f,occitanie,2022,1,192843.00,0.500000
35-39 ans,f,auvergne-rhône-alpes,2023,4,265595.00,1.500000
30-34 ans,f,nouvelle-aquitaine,2023,5,170368.00,2.900000
25-29 ans,f,hauts-de-france,2024,1,168671.00,0.600000
55-59 ans,m,provence-alpes-côte d'azur,2024,2,168822.00,1.200000
20-24 ans,m,centre-val de loire,2023,2,68668.00,2.900000
40-44 ans,m,occitanie,2022,6,182583.00,3.300000
45-49 ans,m,drom,2022,2,63017.00,3.200000
30-34 ans,m,nouvelle-aquitaine,2024,11,165045.00,6.700000
45-49 ans,f,auvergne-rhône-alpes,2025,1,252617.00,0.400000
55-59 ans,f,occitanie,2023,1,210500.00,0.500000
35-39 ans,f,île-de-france,2024,21,454991.00,4.600000
45-49 ans,m,île-de-france,2022,22,411669.00,5.300000
35-39 ans,m,hauts-de-france,2024,7,188763.00,3.700000
25-29 ans,m,île-de-france,2024,57,427506.00,13.300000
40-44 ans,m,bretagne,2022,4,103643.00,3.900000
25-29 ans,f,centre-val de loire,2024,1,64415.00,1.600000
40-44 ans,m,centre-val de loire,2025,3,77077.00,3.900000
35-39 ans,m,bretagne,2025,4,101335.00,3.900000
50-54 ans,f,nouvelle-aquitaine,2023,2,212198.00,0.900000
45-49 ans,m,hauts-de-france,2022,4,190618.00,2.100000
25-29 ans,f,pays de la loire,2023,1,101579.00,1.000000
30-34 ans,m,nouvelle-aquitaine,2025,7,165301.00,4.200000
40-44 ans,m,provence-alpes-côte d'azur,2024,2,157499.00,1.300000
50-54 ans,m,pays de la loire,2023,2,127860.00,1.600000
45-49 ans,f,île-de-france,2025,10,411611.00,2.400000
45-49 ans,m,centre-val de loire,2024,1,75533.00,1.300000
35-39 ans,f,provence-alpes-côte d'azur,2025,2,167082.00,1.200000
30-34 ans,m,hauts-de-france,2025,12,172404.00,7.000000
35-39 ans,m,auvergne-rhône-alpes,2025,6,260787.00,2.300000
60 ans ou plus,f,bretagne,2025,1,602262.00,0.200000
20-24 ans,f,île-de-france,2022,5,422554.00,1.200000
30-34 ans,m,île-de-france,2024,39,436146.00,8.900000
25-29 ans,f,île-de-france,2022,12,438011.00,2.700000
45-49 ans,f,île-de-france,2023,13,412755.00,3.100000
40-44 ans,m,île-de-france,2025,14,415987.00,3.400000
30-34 ans,m,grand est,2024,7,164917.00,4.200000
35-39 ans,m,provence-alpes-côte d'azur,2025,11,155730.00,7.100000
25-29 ans,m,auvergne-rhône-alpes,2023,8,231796.00,3.500000
30-34 ans,m,normandie,2024,3,92404.00,3.200000
40-44 ans,f,auvergne-rhône-alpes,2022,5,263561.00,1.900000
50-54 ans,f,grand est,2025,1,185152.00,0.500000
50-54 ans,f,hauts-de-france,2023,2,196058.00,1.000000
60 ans ou plus,m,bretagne,2022,1,453105.00,0.200000
20-24 ans,m,centre-val de loire,2022,2,68680.00,2.900000
25-29 ans,f,grand est,2023,4,151422.00,2.600000
20-24 ans,m,île-de-france,2025,27,428043.00,6.300000
50-54 ans,m,hauts-de-france,2025,2,195768.00,1.000000
40-44 ans,m,grand est,2025,2,174748.00,1.100000
45-49 ans,m,île-de-france,2023,20,406432.00,4.900000
20-24 ans,m,auvergne-rhône-alpes,2025,9,241875.00,3.700000
50-54 ans,f,hauts-de-france,2022,2,194384.00,1.000000
30-34 ans,m,pays de la loire,2023,8,112256.00,7.100000
35-39 ans,m,provence-alpes-côte d'azur,2022,8,149106.00,5.400000
20-24 ans,f,île-de-france,2024,4,437692.00,0.900000
50-54 ans,m,provence-alpes-côte d'azur,2024,3,169455.00,1.800000
35-39 ans,f,île-de-france,2022,31,450961.00,6.900000
20-24 ans,m,provence-alpes-côte d'azur,2023,2,141226.00,1.400000
45-49 ans,f,auvergne-rhône-alpes,2024,1,251789.00,0.400000
35-39 ans,f,centre-val de loire,2024,1,78018.00,1.300000
30-34 ans,f,drom,2024,1,74582.00,1.300000
55-59 ans,m,provence-alpes-côte d'azur,2025,1,167650.00,0.600000
50-54 ans,m,normandie,2025,2,107608.00,1.900000
25-29 ans,m,pays de la loire,2023,3,103822.00,2.900000
25-29 ans,f,grand est,2025,2,151917.00,1.300000
25-29 ans,m,centre-val de loire,2024,5,65745.00,7.600000
30-34 ans,m,bretagne,2023,1,94029.00,1.100000
55-59 ans,m,auvergne-rhône-alpes,2022,4,260661.00,1.500000
60 ans ou plus,m,centre-val de loire,2023,1,349131.00,0.300000
25-29 ans,m,centre-val de loire,2025,6,66703.00,9.000000
40-44 ans,f,occitanie,2024,3,196788.00,1.500000
25-29 ans,f,hauts-de-france,2023,4,167218.00,2.400000
50-54 ans,f,occitanie,2022,1,205697.00,0.500000
30-34 ans,m,centre-val de loire,2022,3,70117.00,4.300000
50-54 ans,f,nouvelle-aquitaine,2025,2,213919.00,0.900000
55-59 ans,m,provence-alpes-côte d'azur,2022,2,168350.00,1.200000
30-34 ans,m,pays de la loire,2024,3,111967.00,2.700000
45-49 ans,m,nouvelle-aquitaine,2022,5,192658.00,2.600000
55-59 ans,f,pays de la loire,2025,2,123750.00,1.600000
30-34 ans,m,occitanie,2022,14,169648.00,8.300000
35-39 ans,f,pays de la loire,2025,1,121676.00,0.800000
35-39 ans,f,provence-alpes-côte d'azur,2022,1,161490.00,0.600000
20-24 ans,m,occitanie,2022,2,173775.00,1.200000
40-44 ans,f,île-de-france,2024,8,442019.00,1.800000
20-24 ans,m,île-de-france,2023,5,424757.00,1.200000
30-34 ans,f,occitanie,2023,4,176953.00,2.300000
45-49 ans,f,nouvelle-aquitaine,2023,3,193292.00,1.600000
35-39 ans,f,hauts-de-france,2023,3,194654.00,1.500000
55-59 ans,m,hauts-de-france,2024,3,185912.00,1.600000
55-59 ans,m,occitanie,2024,1,198523.00,0.500000
30-34 ans,m,drom,2025,3,56777.00,5.300000
55-59 ans,f,nouvelle-aquitaine,2024,1,213406.00,0.500000
40-44 ans,f,bourgogne-franche-comté,2022,1,83548.00,1.200000
55-59 ans,m,pays de la loire,2024,1,121198.00,0.800000
45-49 ans,f,drom,2022,1,73821.00,1.400000
45-49 ans,m,auvergne-rhône-alpes,2024,7,249181.00,2.800000
25-29 ans,m,bretagne,2023,4,88513.00,4.500000
55-59 ans,m,centre-val de loire,2024,1,84372.00,1.200000
45-49 ans,f,pays de la loire,2022,2,124709.00,1.600000
55-59 ans,f,grand est,2022,1,193756.00,0.500000
35-39 ans,f,provence-alpes-côte d'azur,2023,1,162451.00,0.600000
30-34 ans,f,hauts-de-france,2024,2,179036.00,1.100000
25-29 ans,f,nouvelle-aquitaine,2024,3,152666.00,2.000000
20-24 ans,m,nouvelle-aquitaine,2023,2,165434.00,1.200000
20-24 ans,m,occitanie,2023,1,175026.00,0.600000
35-39 ans,m,grand est,2023,3,169741.00,1.800000
40-44 ans,m,hauts-de-france,2023,4,190181.00,2.100000
45-49 ans,f,nouvelle-aquitaine,2022,4,198248.00,2.000000
55-59 ans,f,pays de la loire,2022,2,123747.00,1.600000
45-49 ans,m,bretagne,2023,1,107182.00,0.900000
35-39 ans,m,centre-val de loire,2025,7,74356.00,9.400000
20-24 ans,m,provence-alpes-côte d'azur,2025,4,140326.00,2.900000
50-54 ans,f,occitanie,2024,1,209579.00,0.500000
30-34 ans,f,auvergne-rhône-alpes,2025,4,251207.00,1.600000
20-24 ans,m,grand est,2024,4,165525.00,2.400000
55-59 ans,f,nouvelle-aquitaine,2025,1,212399.00,0.500000
55-59 ans,f,pays de la loire,2024,1,123824.00,0.800000
45-49 ans,f,bourgogne-franche-comté,2023,1,84562.00,1.200000
50-54 ans,m,provence-alpes-côte d'azur,2023,1,168899.00,0.600000
40-44 ans,m,auvergne-rhône-alpes,2023,7,259501.00,2.700000
45-49 ans,m,normandie,2023,1,98227.00,1.000000
20-24 ans,m,auvergne-rhône-alpes,2022,1,239255.00,0.400000
30-34 ans,m,bretagne,2025,4,94269.00,4.200000
60 ans ou plus,m,hauts-de-france,2022,2,658155.00,0.300000
35-39 ans,m,normandie,2023,1,97645.00,1.000000
35-39 ans,f,drom,2023,1,75156.00,1.300000
55-59 ans,m,bretagne,2025,1,112213.00,0.900000
35-39 ans,m,drom,2022,1,58086.00,1.700000
20-24 ans,m,centre-val de loire,2024,2,68705.00,2.900000
50-54 ans,m,normandie,2023,2,108654.00,1.800000
50-54 ans,f,pays de la loire,2022,1,125881.00,0.800000
25-29 ans,m,bretagne,2022,2,86968.00,2.300000
25-29 ans,m,pays de la loire,2024,4,105707.00,3.800000
35-39 ans,m,auvergne-rhône-alpes,2022,16,254980.00,6.300000
40-44 ans,m,normandie,2025,6,100557.00,6.000000
55-59 ans,m,pays de la loire,2023,1,121045.00,0.800000
25-29 ans,f,provence-alpes-côte d'azur,2025,3,140222.00,2.100000
35-39 ans,m,pays de la loire,2025,3,119428.00,2.500000
40-44 ans,m,auvergne-rhône-alpes,2024,8,261642.00,3.100000
20-24 ans,m,hauts-de-france,2022,1,186248.00,0.500000
45-49 ans,f,provence-alpes-côte d'azur,2024,2,160701.00,1.200000
30-34 ans,m,bretagne,2024,4,93974.00,4.300000
50-54 ans,m,île-de-france,2025,10,404833.00,2.500000
25-29 ans,f,occitanie,2022,1,159618.00,0.600000
35-39 ans,m,centre-val de loire,2022,7,73397.00,9.500000
35-39 ans,f,occitanie,2022,3,184360.00,1.600000
55-59 ans,f,normandie,2022,1,112927.00,0.900000
50-54 ans,m,île-de-france,2023,14,397813.00,3.500000
40-44 ans,m,grand est,2022,8,170271.00,4.700000
45-49 ans,m,provence-alpes-côte d'azur,2024,3,153032.00,2.000000
55-59 ans,m,île-de-france,2025,5,368747.00,1.400000
55-59 ans,m,hauts-de-france,2022,1,186952.00,0.500000
30-34 ans,m,auvergne-rhône-alpes,2022,15,247295.00,6.100000
25-29 ans,m,hauts-de-france,2025,11,170392.00,6.500000
20-24 ans,m,hauts-de-france,2023,2,187502.00,1.100000
55-59 ans,f,île-de-france,2024,1,388500.00,0.300000
45-49 ans,m,centre-val de loire,2023,2,77687.00,2.600000
40-44 ans,m,occitanie,2024,4,185922.00,2.200000
60 ans ou plus,m,île-de-france,2024,1,1192480.00,0.100000
55-59 ans,m,île-de-france,2022,15,369531.00,4.100000
30-34 ans,m,hauts-de-france,2022,17,179837.00,9.500000
40-44 ans,f,provence-alpes-côte d'azur,2022,4,163862.00,2.400000
25-29 ans,m,centre-val de loire,2023,5,64525.00,7.700000
50-54 ans,m,bourgogne-franche-comté,2022,3,93561.00,3.200000
40-44 ans,m,centre-val de loire,2024,3,76685.00,3.900000
50-54 ans,m,auvergne-rhône-alpes,2023,1,271978.00,0.400000
20-24 ans,f,auvergne-rhône-alpes,2023,1,227959.00,0.400000
35-39 ans,m,nouvelle-aquitaine,2025,5,179737.00,2.800000
30-34 ans,f,pays de la loire,2022,1,111621.00,0.900000
30-34 ans,m,provence-alpes-côte d'azur,2023,12,145582.00,8.200000
35-39 ans,m,pays de la loire,2023,3,116468.00,2.600000
35-39 ans,other,hauts-de-france,2024,2,,
30-34 ans,other,auvergne-rhône-alpes,2025,2,,
45-49 ans,other,grand est,2023,2,,
50-54 ans,other,hauts-de-france,2025,1,,
45-49 ans,other,nouvelle-aquitaine,2025,1,,
40-44 ans,other,auvergne-rhône-alpes,2023,7,,
35-39 ans,other,île-de-france,2023,37,,
45-49 ans,other,provence-alpes-côte d'azur,2025,1,,
35-39 ans,other,pays de la loire,2024,1,,
45-49 ans,other,provence-alpes-côte d'azur,2023,1,,
35-39 ans,other,bourgogne-franche-comté,2022,3,,
35-39 ans,other,île-de-france,2025,8,,
30-34 ans,other,normandie,2025,1,,
20-24 ans,other,île-de-france,2023,1,,
30-34 ans,other,bretagne,2023,4,,
40-44 ans,other,occitanie,2022,7,,
25-29 ans,other,pays de la loire,2023,3,,
20-24 ans,other,auvergne-rhône-alpes,2024,1,,
30-34 ans,other,hauts-de-france,2025,3,,
25-29 ans,other,hauts-de-france,2022,8,,
35-39 ans,other,hauts-de-france,2023,6,,
30-34 ans,other,grand est,2023,4,,
45-49 ans,other,provence-alpes-côte d'azur,2022,4,,
25-29 ans,other,nouvelle-aquitaine,2025,2,,
30-34 ans,other,auvergne-rhône-alpes,2023,8,,
40-44 ans,other,auvergne-rhône-alpes,2022,14,,
20-24 ans,other,drom,2023,1,,
40-44 ans,other,grand est,2022,6,,
20-24 ans,other,bourgogne-franche-comté,2023,1,,
60 ans ou plus,other,provence-alpes-côte d'azur,2023,1,,
25-29 ans,other,normandie,2022,4,,
60 ans ou plus,other,centre-val de loire,2022,1,,
35-39 ans,other,nouvelle-aquitaine,2022,5,,
25-29 ans,other,pays de la loire,2022,4,,
25-29 ans,other,provence-alpes-côte d'azur,2025,1,,
55-59 ans,other,grand est,2022,2,,
45-49 ans,other,hauts-de-france,2023,1,,
35-39 ans,other,pays de la loire,2022,6,,
60 ans ou plus,other,bretagne,2022,1,,
50-54 ans,other,nouvelle-aquitaine,2022,5,,
60 ans ou plus,other,auvergne-rhône-alpes,2022,1,,
50-54 ans,other,auvergne-rhône-alpes,2024,1,,
45-49 ans,other,nouvelle-aquitaine,2024,1,,
20-24 ans,other,grand est,2023,1,,
40-44 ans,other,île-de-france,2022,40,,
40-44 ans,other,grand est,2023,1,,
40-44 ans,other,bretagne,2022,3,,
60 ans ou plus,other,provence-alpes-côte d'azur,2022,1,,
35-39 ans,other,auvergne-rhône-alpes,2023,4,,
25-29 ans,other,hauts-de-france,2024,1,,
25-29 ans,other,provence-alpes-côte d'azur,2022,8,,
20-24 ans,other,hauts-de-france,2022,1,,
50-54 ans,other,île-de-france,2022,24,,
55-59 ans,other,île-de-france,2024,4,,
30-34 ans,other,centre-val de loire,2022,5,,
35-39 ans,other,occitanie,2022,9,,
40-44 ans,other,île-de-france,2023,30,,
25-29 ans,other,pays de la loire,2024,3,,
25-29 ans,other,bretagne,2023,6,,
40-44 ans,other,hauts-de-france,2023,1,,
30-34 ans,other,pays de la loire,2024,1,,
45-49 ans,other,bretagne,2023,1,,
30-34 ans,other,grand est,2025,1,,
50-54 ans,other,île-de-france,2023,16,,
50-54 ans,other,provence-alpes-côte d'azur,2022,2,,
50-54 ans,other,bretagne,2023,2,,
55-59 ans,other,île-de-france,2022,12,,
45-49 ans,other,île-de-france,2023,17,,
45-49 ans,other,auvergne-rhône-alpes,2023,2,,
45-49 ans,other,bretagne,2022,3,,
55-59 ans,other,auvergne-rhône-alpes,2022,1,,
40-44 ans,other,centre-val de loire,2023,1,,
30-34 ans,other,provence-alpes-côte d'azur,2024,1,,
30-34 ans,other,occitanie,2025,1,,
50-54 ans,other,normandie,2023,1,,
55-59 ans,other,occitanie,2023,1,,
